energy 	 rate 
0.1 	 0.00024167212660931552 
1.1 	 0.002518707285958146 
2.1 	 0.004554661194371934 
3.1 	 0.006367100805692778 
4.1 	 0.00797254036269751 
5.1 	 0.009386496488365627 
6.1 	 0.010623540685878015 
7.1 	 0.01169734935860808 
8.1 	 0.012620751456971927 
9.1 	 0.013405773854769428 
10.1 	 0.014063684553567652 
11.1 	 0.014605033809747148 
12.1 	 0.015039693275045219 
13.1 	 0.015376893237783113 
14.1 	 0.01562525804845209 
15.1 	 0.01579283980995144 
16.1 	 0.01588715040951531 
17.1 	 0.015915191966230913 
18.1 	 0.01588348576503339 
19.1 	 0.015798099745158927 
20.1 	 0.0156646746082433 
21.1 	 0.015488448608564385 
22.1 	 0.015274281085340477 
23.1 	 0.015026674794507968 
24.1 	 0.014749797095008647 
25.1 	 0.014447500042315375 
26.1 	 0.014123339439711625 
27.1 	 0.013780592895712597 
28.1 	 0.013422276933970084 
29.1 	 0.013051163200037092 
30.1 	 0.012669793807478612 
31.1 	 0.012280495863999114 
32.1 	 0.01188539521651273 
33.1 	 0.011486429452406096 
34.1 	 0.011085360192633727 
35.1 	 0.0106837847107399 
36.1 	 0.010283146910415902 
37.1 	 0.009884747692776237 
38.1 	 0.009489754743168445 
39.1 	 0.009099211766017815 
40.1 	 0.008714047194947247 
41.1 	 0.008335082404202663 
42.1 	 0.007963039446253796 
43.1 	 0.007598548339326176 
44.1 	 0.007242153927552391 
45.1 	 0.006894322335406146 
46.1 	 0.006555447037100253 
47.1 	 0.006225854560688261 
48.1 	 0.005905809845706352 
49.1 	 0.005595521272327234 
50.1 	 0.005295145379168247 
51.1 	 0.005004791286101814 
52.1 	 0.004724524837655099 
53.1 	 0.004454372481856838 
54.1 	 0.004194324898691198 
55.1 	 0.003944340391650081 
56.1 	 0.0037043480552352895 
57.1 	 0.0034742507306496687 
58.1 	 0.003253927761329585 
59.1 	 0.003043237559411142 
60.1 	 0.002842019993684606 
61.1 	 0.0026500986090796323 
62.1 	 0.0024672826872319037 
63.1 	 0.0022933691572130264 
64.1 	 0.0021281443650568253 
65.1 	 0.001971385710285885 
66.1 	 0.001822863157233134 
67.1 	 0.0016823406285608649 
68.1 	 0.0015495772880062986 
69.1 	 0.0014243287190250564 
70.1 	 0.001306348005663264 
71.1 	 0.001195386721663055 
72.1 	 0.0010911958334956626 
73.1 	 0.0009935265227198015 
74.1 	 0.0009021309327799256 
75.1 	 0.0008167628450893192 
76.1 	 0.0007371782889854188 
77.1 	 0.0006631360898997143 
78.1 	 0.000594398359850681 
79.1 	 0.0005307309341449384 
80.1 	 0.00047190375796042936 
81.1 	 0.000417691226282346 
82.1 	 0.00036787248047062145 
83.1 	 0.00032223166455402815 
84.1 	 0.00028055814417228054 
85.1 	 0.00024264669092035135 
86.1 	 0.00020829763469297773 
87.1 	 0.00017731698647564006 
88.1 	 0.00014951653388674865 
89.1 	 0.00012471391163953742 
90.1 	 0.00010273264896374404 
91.1 	 8.340219590450209e-05 
