x   y
0.0 3.4830038882344447
0.07412140562034286 3.478595373166656
0.14824281124068572 3.47414164802706
0.22236421686102859 3.46964177592544
0.29648562248137145 3.465094790543574
0.3706070281017143 3.4604996948897213
0.44472843372205717 3.4558554599865166
0.5188498393424 3.451161023487944
0.5929712449627429 3.446415288220742
0.6670926505830858 3.4416171206452284
0.7412140562034286 3.4367653492301513
0.8153354618237715 3.4318587627357258
0.8894568674441143 3.4268961083985707
0.9635782730644572 3.4218760900117378
1.0376996786848 3.4167973658924713
1.1118210843051428 3.4116585467297273
1.1859424899254858 3.4064581933028153
1.2600638955458288 3.4011948140617876
1.3341853011661715 3.3958668625593997
1.4083067067865143 3.3904727347235806
1.4824281124068572 3.3850107659583757
1.5565495180272002 3.379479228060254
1.630670923647543 3.3738763259354867
1.7047923292678857 3.3682001941029918
1.7789137348882287 3.362448892965608
1.8530351405085717 3.3566204048311326
1.9271565461289144 3.3507126296627168
2.001277951749257 3.3447233805362035
2.0753993573696 3.338650378779834
2.149520762989943 3.3324912487692795
2.2236421686102856 3.326243512348254
2.2977635742306286 3.319904582841907
2.3718849798509716 3.313471758626811
2.4460063854713145 3.306942216217528
2.5201277910916575 3.3003130028254897
2.594249196712 3.293581028341092
2.668370602332343 3.2867430566845255
2.742492007952686 3.279795696464734
2.8166134135730285 3.272735390879004
2.8907348191933715 3.265558406777892
2.9648562248137145 3.2582608228113217
3.0389776304340574 3.2508385165616134
3.1130990360544004 3.2432871505577525
3.187220441674743 3.2356021570520888
3.261341847295086 3.227778721425691
3.335463252915429 3.2198117640713826
3.4095846585357714 3.211695920583755
3.4837060641561144 3.203425520062668
3.5578274697764574 3.194994561310466
3.6319488753968003 3.1863966866726794
3.7060702810171433 3.1776251532365696
3.780191686637486 3.1686728010606835
3.854313092257829 3.1595320180603945
3.928434497878172 3.15019470111796
4.002555903498514 3.1406522129192465
4.076677309118858 3.1308953339409626
4.1507987147392 3.12091420891951
4.224920120359543 3.1106982870224043
4.299041525979886 3.1002362548118017
4.373162931600229 3.0895159609322977
4.447284337220571 3.0785243312659096
4.521405742840915 3.0672472730686007
4.595527148461257 3.055669566325333
4.669648554081601 3.043774740222519
4.743769959701943 3.0315449322223857
4.817891365322286 3.018960726713302
4.892012770942629 3.006000969577764
4.966134176562972 2.992642554231669
5.040255582183315 2.978860173700214
5.114376987803658 2.964626032048263
5.188498393424 2.9499095068970087
5.2626197990443435 2.934676752727469
5.336741204664686 2.918890232048926
5.410862610285029 2.9025081580958982
5.484984015905372 2.885483828231089
5.5591054215257145 2.867764821279885
5.633226827146057 2.8492920240427826
5.7073482327664005 2.8299984414139487
5.781469638386743 2.809807729687597
5.855591044007086 2.7886323719885824
5.929712449627429 2.7663713856404235
6.0038338552477715 2.7429074095530894
6.077955260868115 2.7181029588813304
6.152076666488457 2.691795543836414
6.226198072108801 2.663791212447789
6.300319477729143 2.633855864206187
6.374440883349486 2.601703342230002
