x   y   high    low
1.5 3.5665041662722667 3.655810059220989 3.4771982733235447
2.5 3.5824304907404483 3.6693140418756576 3.495546939605239
3.5 3.5979683247440732 3.686405049894413 3.5095315995937333
4.5 3.6241970269555366 3.711079236912221 3.537314816998852
5.5 3.6497351313608486 3.7363206379145084 3.5631496248071888
6.5 3.67121661446773 3.7559823171284483 3.5864509118070114
7.5 3.6918465560806073 3.7801248887960197 3.603568223365195
8.5 3.7093586626241866 3.7942518362993702 3.624465488949003
9.5 3.7269325251188437 3.8129601951781886 3.6409048550594987
10.5 3.744447964892209 3.8315173882510685 3.6573785415333493
11.5 3.7615568346024544 3.850105032303849 3.6730086369010597
12.5 3.775500682038729 3.8628909845492583 3.6881103795282
13.5 3.7872264306058305 3.8776328127655626 3.6968200484460985
14.5 3.8035255020310617 3.8923702405821414 3.714680763479982
15.5 3.816763149734809 3.90707938780455 3.7264469116650676
16.5 3.8288282605986805 3.919160740566226 3.738495780631135
17.5 3.841140901820982 3.9294367137322572 3.752845089909707
18.5 3.8548326430196522 3.946937290535937 3.7627279955033677
19.5 3.8632445350939064 3.953941044908676 3.772548025279137
20.5 3.8737300261036225 3.963502814146267 3.783957238060978
21.5 3.888663197162693 3.9778685860704157 3.7994578082549704
22.5 3.8948645824776245 3.9877979286533 3.801931236301949
23.5 3.9054688254793706 3.997509212252376 3.813428438706365
24.5 3.9167186819568305 4.006848604373029 3.8265887595406323
25.5 3.92435984552915 4.0139812571330955 3.8347384339252044
26.5 3.9329094050257383 4.025747935438022 3.840070874613455
27.5 3.9461723108023907 4.037508978928791 3.85483564267599
28.5 3.9534085658549456 4.044520140978655 3.8622969907312363
29.5 3.960664728673614 4.051854237883615 3.869475219463613
30.5 3.9702271308956267 4.0611494557015 3.8793048060897535
31.5 3.975824507529568 4.0664078954480605 3.8852411196110754
32.5 3.9890012402946757 4.08162864372187 3.8963738368674816
33.5 3.9933528392707496 4.08241779796274 3.9042878805787593
34.5 4.002233193842366 4.091848816915517 3.912617570769214
35.5 4.0109748504450495 4.099551764609924 3.9223979362801753
36.5 4.016623186649116 4.1079364105523934 3.9253099627458385
37.5 4.025073870974136 4.11427213689968 3.935875605048593
38.5 4.027228647582021 4.117714704538216 3.9367425906258258
39.5 4.038760889113431 4.125683375460213 3.9518384027666484
40.5 4.047165147641275 4.135949629885431 3.9583806653971187
41.5 4.052758220603285 4.142554119969056 3.9629623212375145
42.5 4.0580039949195275 4.1469601946677335 3.969047795171322
43.5 4.065230059024447 4.1529974855494665 3.9774626324994284
44.5 4.069892054595364 4.159411172528687 3.980372936662041
45.5 4.076977664696408 4.164548360736136 3.989406968656681
46.5 4.083409987066723 4.171652323550884 3.9951676505825624
47.5 4.090587750970403 4.178690137632409 4.002485364308398
48.5 4.094795469622406 4.183282345427263 4.00630859381755
49.5 4.100740669733994 4.190731761454689 4.010749578013298
50.5 4.1079628745627 4.1964944947808815 4.019431254344519
51.5 4.112404865246977 4.202998017563475 4.021811712930479
52.5 4.121426481722282 4.209018097237811 4.033834866206753
53.5 4.126132814960798 4.212572582584411 4.039693047337185
54.5 4.1330248855518334 4.221028321598024 4.045021449505643
55.5 4.136698190911347 4.223725174897828 4.049671206924867
56.5 4.145145371077983 4.233087503690248 4.057203238465718
57.5 4.148544379600223 4.233848839934963 4.063239919265482
58.5 4.152873046703791 4.239801121485272 4.065944971922309
59.5 4.158967281876092 4.245239318640822 4.072695245111362
60.5 4.162225496987941 4.248197686393103 4.076253307582779
61.5 4.168575278295016 4.253777930948169 4.083372625641863
62.5 4.173886633481113 4.261739330119379 4.086033936842847
63.5 4.180904057469334 4.266438783698507 4.095369331240161
64.5 4.183800971574438 4.270462034213327 4.09713990893555
65.5 4.187135159247915 4.274702588580628 4.099567729915202
66.5 4.193885647864258 4.279241919894395 4.108529375834121
67.5 4.196751130530272 4.281949634905226 4.1115526261553175
68.5 4.203130017279561 4.286019336521033 4.120240698038089
69.5 4.204220069043986 4.289939159217553 4.1185009788704185
70.5 4.207880368125783 4.293385476286932 4.122375259964633
71.5 4.216632078356087 4.299661911751659 4.133602244960515
72.5 4.220531414008116 4.3060803222840995 4.1349825057321326
73.5 4.226225550995763 4.3095329127705995 4.142918189220927
74.5 4.22862208921187 4.3114014220449 4.1458427563788405
75.5 4.232093016002376 4.3146202207004425 4.14956581130431
76.5 4.237187216396683 4.321639976298051 4.152734456495316
77.5 4.2405498400243555 4.325161724267103 4.155937955781608
78.5 4.2452690529066714 4.330259803575803 4.16027830223754
79.5 4.251627874557589 4.336711522658574 4.166544226456604
80.5 4.251909184804299 4.333839730994687 4.1699786386139115
81.5 4.257904535469531 4.342195092468255 4.173613978470807
82.5 4.260861903354133 4.344151687100322 4.1775721196079445
83.5 4.266807678839169 4.350333155069526 4.183282202608812
84.5 4.269851303278304 4.351528547761585 4.188174058795023
85.5 4.27383708661215 4.358680437105725 4.188993736118575
86.5 4.276916460062712 4.3612870942694935 4.192545825855931
87.5 4.279906680849942 4.364386992426765 4.195426369273119
88.5 4.28683109221539 4.369742950007516 4.203919234423265
89.5 4.288343952059574 4.370292644626089 4.206395259493059
90.5 4.293223697654014 4.377003519399063 4.209443875908965
91.5 4.295513368963723 4.377991956450618 4.2130347814768285
92.5 4.300848037371982 4.384833252756812 4.216862821987152
93.5 4.304775490536279 4.38469290388722 4.224858077185338
94.5 4.308423362382312 4.391993104891265 4.224853619873359
95.5 4.311117033065635 4.3942545974757286 4.227979468655541
96.5 4.315428644079633 4.398672429682457 4.232184858476809
97.5 4.319371823592896 4.401846674952778 4.236896972233015
98.5 4.320780811368616 4.403433990545393 4.238127632191839
