Lower	Upper	Weight
0 100 0.70
100 200 1.00
200 300 0.11
300 400 0.07
400 500 0.11
500 600 0.16
600 700 0.19
700 800 0.21
800 900 0.22
900 1000 0.40
1000 1100 0.57
1100 1200 0.84
1200 1300 0.68
1300 1400 0.31
1400 1500 0.33
1500 1600 0.29
1600 1700 0.37
1700 1800 0.37
1800 1900 0.42
1900 2000 0.43
2000 2100 0.45
2100 2200 0.45
2200 2300 0.46
2300 2400 0.46
2400 2500 0.45
2500 2600 0.45
2600 2700 0.44
2700 2800 0.42
2800 2900 0.41
2900 3000 0.38
3000 3100 0.34
3100 3200 0.31
3200 3300 0.28
3300 3400 0.25
3400 3500 0.22
3500 3600 0.20
3600 3700 0.19
3700 3800 0.17
3800 3900 0.16
3900 4000 0.14
4000 4100 0.13
4100 4200 0.12
4200 4300 0.11
4300 4400 0.10
4400 4500 0.09
4500 4600 0.09
4600 4700 0.08
4700 4800 0.07
4800 4900 0.06
4900 5000 0.06
5000 5100 0.05
5100 5200 0.05
5200 5300 0.04
5300 5400 0.04
5400 5500 0.04
5500 5600 0.04
5600 5700 0.03
5700 5800 0.03
5800 5900 0.03
5900 6000 0.02
6000 6100 0.02
6100 6200 0.02
6200 6300 0.01
6300 6400 0.01
6400 6500 0.01
6500 6600 0.00
6600 6700 0.00
6700 6800 0.01
6800 6900 0.00
6900 7000 0.00
7000 7100 0.00
7100 7200 0.00
7200 7300 0.02
7300 7400 0.01
7400 7500 0.00
7500 7600 0.00
7600 7700 0.00
7700 7800 0.00
7800 7900 0.00

