Lower	Upper	Weight
0	1	1490347
1	2	3190069
2	3	63474
3	4	223449
4	5	7847
5	6	3242
6	7	3121
7	8	1977
8	9	1225
9	10	990
10	11	756
11	12	728
12	13	2010
13	14	3117
14	15	1467
15	16	753
16	17	461
17	18	343
18	19	300
19	20	286
20	21	312
21	22	260
22	23	261
23	24	273
24	25	260
25	26	222
26	27	245
27	28	223
28	29	191
29	30	158
30	31	174
31	32	170
32	33	150
33	34	129
34	35	133
35	36	122
36	37	83
37	38	89
38	39	54
39	40	62
40	41	58
41	42	46
42	43	37
43	44	40
44	45	34
45	46	29
46	47	24
47	48	14
48	49	22
49	50	8
50	51	23
51	52	14
52	53	14
53	54	12
54	55	7
55	56	8
56	57	8
57	58	8
58	59	10
59	60	11
60	61	4
61	62	3
62	63	8
63	64	3
64	65	1
65	66	3
66	67	1
67	68	1
68	69	1
69	70	1
70	71	2
71	72	3
72	73	2
73	74	0
74	75	0
75	76	0
76	77	0
77	78	0
78	79	0
79	80	1
80	81	1
81	82	0
82	83	0
83	84	0
84	85	1
85	86	0
86	87	4
87	88	1
88	89	0
89	90	0
90	91	0
91	92	0
92	93	0
93	94	0
94	95	0
95	96	0
96	97	0
97	98	0
98	99	0
99	100	0
100 101 1
