Lower	Upper	Weight
-5  0   1
0	1	0
1	2	0
2	3	0
3	4	0
4	5	0
5	6	0
6	7	0
7	8	0
8	9	0
9	10	0
10	11	0
11	12	0
12	13	0
13	14	4
14	15	0
15	16	1
16	17	0
17	18	0
18	19	0
19	20	1
20	21	1
21	22	0
22	23	0
23	24	0
24	25	0
25	26	0
26	27	0
27	28	2
28	29	3
29	30	2
30	31	1
31	32	1
32	33	1
33	34	1
34	35	3
35	36	1
36	37	3
37	38	8
38	39	3
39	40	4
40	41	11
41	42	10
42	43	8
43	44	8
44	45	8
45	46	7
46	47	12
47	48	14
48	49	14
49	50	23
50	51	8
51	52	22
52	53	14
53	54	24
54	55	29
55	56	34
56	57	40
57	58	37
58	59	46
59	60	58
60	61	62
61	62	54
62	63	89
63	64	83
64	65	122
65	66	133
66	67	129
67	68	150
68	69	170
69	70	174
70	71	158
71	72	191
72	73	223
73	74	245
74	75	222
75	76	260
76	77	273
77	78	261
78	79	260
79	80	312
80	81	286
81	82	300
82	83	343
83	84	461
84	85	753
85	86	1467
86	87	3117
87	88	2010
88	89	728
89	90	756
90	91	990
91	92	1225
92	93	1977
93	94	3121
94	95	3242
95	96	7847
96	97	223449
97	98	63474
98	99	3190069
99	100	1388382
100 101 1388382
